Date;Price
11.9.2013;296,517
12.9.2013;297,972
13.9.2013;295,576
16.9.2013;296,688
17.9.2013;294,72
18.9.2013;293,351
19.9.2013;292,067
20.9.2013;293,094
23.9.2013;293,18
24.9.2013;293,094
25.9.2013;293,094
26.9.2013;293,608
27.9.2013;296,432
30.9.2013;293,009
1.10.2013;297,373
2.10.2013;296,945
3.10.2013;297,544
4.10.2013;300,283
7.10.2013;296,945
8.10.2013;291,468
9.10.2013;293,265
10.10.2013;298,058
11.10.2013;297,886
14.10.2013;302,508
15.10.2013;303,278
16.10.2013;307,214
17.10.2013;311,578
18.10.2013;312,434
21.10.2013;314,402
22.10.2013;314,231
23.10.2013;310,209
24.10.2013;310,38
25.10.2013;307,3
28.10.2013;309,525
29.10.2013;316,114
30.10.2013;316,2
31.10.2013;322,618
1.11.2013;323,987
4.11.2013;322,789
5.11.2013;322,019
6.11.2013;320,478
7.11.2013;317,569
8.11.2013;318,424
11.11.2013;320,136
12.11.2013;322,703
13.11.2013;320,821
14.11.2013;324,329
15.11.2013;325,014
18.11.2013;326,896
19.11.2013;325,014
20.11.2013;321,847
21.11.2013;324,843
22.11.2013;321,847
25.11.2013;320,478
26.11.2013;318,51
27.11.2013;319,965
28.11.2013;320,05
29.11.2013;318,938
2.12.2013;314,231
3.12.2013;313,975
4.12.2013;314,231
5.12.2013;312,006
6.12.2013;317,141
9.12.2013;317,654
10.12.2013;315,429
11.12.2013;318,852
12.12.2013;315,515
13.12.2013;313,975
16.12.2013;318,339
17.12.2013;320,136
18.12.2013;319,366
19.12.2013;320,992
20.12.2013;322,446
23.12.2013;325,123
24.12.2013;326,764
25.12.2013;326,764
26.12.2013;326,764
27.12.2013;328,664
30.12.2013;325,814
31.12.2013;327,628
1.1.2014;327,628
2.1.2014;328,232
3.1.2014;329,7
6.1.2014;332,723
7.1.2014;331,6
8.1.2014;327,369
9.1.2014;331,6
10.1.2014;330,996
13.1.2014;332,205
14.1.2014;332,291
15.1.2014;333,327
16.1.2014;328,837
17.1.2014;331,082
20.1.2014;327,714
21.1.2014;329,441
22.1.2014;331,686
23.1.2014;331,082
24.1.2014;328,319
27.1.2014;325,21
28.1.2014;325,728
29.1.2014;319,424
30.1.2014;320,288
31.1.2014;330,996
3.2.2014;332,291
4.2.2014;332,118
5.2.2014;332,032
6.2.2014;335,745
7.2.2014;338,508
10.2.2014;338,508
11.2.2014;341,531
12.2.2014;342,135
13.2.2014;342,999
14.2.2014;342,394
17.2.2014;349,13
18.2.2014;361,047
19.2.2014;356,643
20.2.2014;358,629
21.2.2014;356,902
24.2.2014;357,42
25.2.2014;358,456
26.2.2014;355,693
27.2.2014;355,175
28.2.2014;353,879
3.3.2014;347,403
4.3.2014;350,943
5.3.2014;347,662
6.3.2014;348,785
7.3.2014;346,539
10.3.2014;342,912
11.3.2014;345,848
12.3.2014;347,403
13.3.2014;343,603
14.3.2014;335,918
17.3.2014;340,322
18.3.2014;339,631
19.3.2014;341,963
20.3.2014;338,077
21.3.2014;334,277
24.3.2014;330,823
25.3.2014;331,6
26.3.2014;326,678
27.3.2014;328,06
28.3.2014;323,051
31.3.2014;327,714
1.4.2014;328,06
2.4.2014;330,996
3.4.2014;329,528
4.4.2014;329,268
7.4.2014;323,828
8.4.2014;312,516
9.4.2014;313,897
10.4.2014;310,789
11.4.2014;309,148
14.4.2014;307,594
15.4.2014;309,148
16.4.2014;312,602
17.4.2014;319,079
18.4.2014;319,079
21.4.2014;319,079
22.4.2014;320,633
23.4.2014;321,238
24.4.2014;321,324
25.4.2014;321,842
28.4.2014;320,547
29.4.2014;322,965
30.4.2014;318,215
1.5.2014;325,642
2.5.2014;325,987
5.5.2014;325,987
6.5.2014;326,419
7.5.2014;325,383
8.5.2014;334,709
9.5.2014;330,305
12.5.2014;323,224
13.5.2014;323,742
14.5.2014;322,619
15.5.2014;313,293
16.5.2014;316,402
19.5.2014;320,46
20.5.2014;327,541
21.5.2014;329,959
22.5.2014;330,737
23.5.2014;334,622
26.5.2014;334,622
27.5.2014;338,508
28.5.2014;344,035
29.5.2014;342,826
30.5.2014;342,826
2.6.2014;345,071
3.6.2014;343,517
4.6.2014;343,431
5.6.2014;344,035
6.6.2014;349,907
9.6.2014;350,684
10.6.2014;342,394
11.6.2014;340,149
12.6.2014;343,085
13.6.2014;340,495
16.6.2014;332,377
17.6.2014;330,477
18.6.2014;332,464
19.6.2014;338,94
20.6.2014;334,882
23.6.2014;332,377
24.6.2014;331,168
25.6.2014;329,182
26.6.2014;333,327
27.6.2014;335,918
30.6.2014;332,377
1.7.2014;338,767
2.7.2014;337,472
3.7.2014;335,831
4.7.2014;335,054
7.7.2014;333,759
8.7.2014;327,973
9.7.2014;328,664
10.7.2014;329,441
11.7.2014;332,032
14.7.2014;333,413
15.7.2014;333,586
16.7.2014;334,277
17.7.2014;330,564
18.7.2014;331,168
21.7.2014;330,218
22.7.2014;336,004
23.7.2014;336,09
24.7.2014;334,968
25.7.2014;330,737
28.7.2014;330,737
29.7.2014;334,191
30.7.2014;334,968
31.7.2014;335,486
1.8.2014;329,7
4.8.2014;326,073
5.8.2014;326,764
6.8.2014;327,023
7.8.2014;327,369
8.8.2014;320,719
11.8.2014;323,31
12.8.2014;323,569
13.8.2014;324,803
14.8.2014;324,186
15.8.2014;327,182
18.8.2014;327,887
19.8.2014;331,323
20.8.2014;330,971
21.8.2014;334,496
22.8.2014;334,76
25.8.2014;334,76
26.8.2014;336,875
27.8.2014;337,315
28.8.2014;341,898
29.8.2014;341,016
1.9.2014;339,783
2.9.2014;339,518
3.9.2014;341,369
4.9.2014;343,66
5.9.2014;342,338
8.9.2014;341,281
9.9.2014;341,369
10.9.2014;343,748
11.9.2014;341,721
12.9.2014;343,131
15.9.2014;341,281
16.9.2014;340,664
17.9.2014;342,25
18.9.2014;348,506
19.9.2014;350,533
22.9.2014;345,158
23.9.2014;341,545
24.9.2014;342,25
25.9.2014;337,668
26.9.2014;338,02
29.9.2014;336,611
30.9.2014;334,496
1.10.2014;334,408
2.10.2014;329,385
3.10.2014;332,028
6.10.2014;331,323
7.10.2014;326,829
8.10.2014;328,151
9.10.2014;325,155
10.10.2014;325,596
13.10.2014;324,627
14.10.2014;325,596
15.10.2014;317,313
16.10.2014;318,546
17.10.2014;319,604
20.10.2014;320,044
21.10.2014;325,86
22.10.2014;328,768
23.10.2014;331,852
24.10.2014;326,036
27.10.2014;325,42
28.10.2014;330,795
29.10.2014;330,883
30.10.2014;324,186
31.10.2014;323,833
3.11.2014;323,657
4.11.2014;319,163
5.11.2014;327,182
6.11.2014;327,27
7.11.2014;329,121
10.11.2014;330,53
11.11.2014;325,067
12.11.2014;323,481
13.11.2014;325,067
14.11.2014;329,737
17.11.2014;331,147
18.11.2014;335,906
19.11.2014;335,729
20.11.2014;330,971
21.11.2014;334,848
24.11.2014;347,273
25.11.2014;348,771
26.11.2014;356,349
27.11.2014;357,142
28.11.2014;361,46
1.12.2014;362,87
2.12.2014;368,245
3.12.2014;359,786
